"avatarThumbnail","cid","createTime","createTimeISO","detailedMentions/0/nickName","detailedMentions/0/profileUrl","detailedMentions/0/secUid","detailedMentions/0/userId","diggCount","input","likedByAuthor","mentions/0","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/135a6110f12ef7febbd72780ed999af5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7dbc3500&x-expires=1762869600&x-signature=8xGvQjvXRoVytUTwdDCjDFPOtE8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7539924797037232904","1755525551","2025-08-18T13:59:11.000Z",,,,,"6","https://vt.tiktok.com/ZSyqCc3mG/","false",,"false",,"0","https://vt.tiktok.com/ZSyqCc3mG/","tiktok : bigmo
facebook : ohim 😹","6957203511458317317","ashthegallagher0405","https://www.tiktok.com/@isseinugrohonew/video/7539839279304805649"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/705a9fea6af3018f1d68cb6e22fc44d3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=58a867bd&x-expires=1762869600&x-signature=LL7NtQVUh3CncOQyx95OApaDMm0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7539887320481710869","1755516826","2025-08-18T11:33:46.000Z",,,,,"2769","https://vt.tiktok.com/ZSyqCc3mG/","false",,"false",,"7","https://vt.tiktok.com/ZSyqCc3mG/","Kasian ibu nya","6958382129580229638","anisyaaaaa.rh","https://www.tiktok.com/@isseinugrohonew/video/7539839279304805649"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0588bd244415fb39d996d613dff65609~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e8d5873c&x-expires=1762869600&x-signature=REAxyV%2FLtSsUFPl1dUbkgPkLB2E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7570874718477075208","1762731658","2025-11-09T23:40:58.000Z",,,,,"0","https://vt.tiktok.com/ZSyqCc3mG/","false",,"false",,"0","https://vt.tiktok.com/ZSyqCc3mG/","ini surabaya loh mo bagus kann","7075301761436140546","_yumnnie_union","https://www.tiktok.com/@isseinugrohonew/video/7539839279304805649"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/14ed9f1e7ae55efcf10e2402917a2b92~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=79fcbb0e&x-expires=1762869600&x-signature=azn5zQM5FobR8tgnqGoSypERMjo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7540253833449194248","1755602157","2025-08-19T11:15:57.000Z",,,,,"1084","https://vt.tiktok.com/ZSyqCc3mG/","false",,"false",,"17","https://vt.tiktok.com/ZSyqCc3mG/","idola bocil puber 🤭🤭","7045063952184165402","_ramzylesmana","https://www.tiktok.com/@isseinugrohonew/video/7539839279304805649"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/445ac3336b73d4f76187fc5b234f0459~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0617e048&x-expires=1762869600&x-signature=OerGi6QZgjjfmXrdyccQLlI4%2BUM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7539857749652472577","1755509945","2025-08-18T09:39:05.000Z",,,,,"189","https://vt.tiktok.com/ZSyqCc3mG/","false",,"false",,"1","https://vt.tiktok.com/ZSyqCc3mG/","kasian ama ibunya gw","7364647425317504006","zxuruv1","https://www.tiktok.com/@isseinugrohonew/video/7539839279304805649"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/879239bc0718a6fff762d46fe76042eb~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=aebf53c5&x-expires=1762869600&x-signature=M5dhs6%2BCJEqeyElmmhjAIEmiD8E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7539861903435793159","1755510907","2025-08-18T09:55:07.000Z",,,,,"5977","https://vt.tiktok.com/ZSyqCc3mG/","false",,"false",,"40","https://vt.tiktok.com/ZSyqCc3mG/","ini orang karya nya apa ?","6828823914766369794","exoticmilkyway9","https://www.tiktok.com/@isseinugrohonew/video/7539839279304805649"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/af6eefebdc0cc3c90ec74177232c1b65~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d110e6d9&x-expires=1762869600&x-signature=LRZGhKYNqKb5JOIQ3c73M5MG0nM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7540640710313050887","1755692235","2025-08-20T12:17:15.000Z",,,,,"0","https://vt.tiktok.com/ZSyqCc3mG/","false",,"false",,"0","https://vt.tiktok.com/ZSyqCc3mG/","imannya duniawi bgt","7155648135246611458","rswdzz","https://www.tiktok.com/@isseinugrohonew/video/7539839279304805649"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ecb295f8f00ca874523ce8d16d590830~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=24977e20&x-expires=1762869600&x-signature=Q38fnIh1BP2nHedEDSeKIa5uuU8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7539866575127003922","1755512135","2025-08-18T10:15:35.000Z",,,,,"4236","https://vt.tiktok.com/ZSyqCc3mG/","false",,"false",,"6","https://vt.tiktok.com/ZSyqCc3mG/","bigmo kenak kasus gua cuman kasihan ama ibunya🗿😹","7467570146396554248","victoria_shanxz","https://www.tiktok.com/@isseinugrohonew/video/7539839279304805649"
"https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/d4e8661ba36e547c9cf74a0b38ec1f16~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8f94c368&x-expires=1762869600&x-signature=RwFZeJ3f3aWrfDy9mMRkDhrDvwA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7539950453745713928","1755531522","2025-08-18T15:38:42.000Z",,,,,"7375","https://vt.tiktok.com/ZSyqCc3mG/","false",,"false",,"29","https://vt.tiktok.com/ZSyqCc3mG/","Fans Bigmo saat ini:","7170998830539408411","buyuangatung","https://www.tiktok.com/@isseinugrohonew/video/7539839279304805649"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f3c801edb554f0d211c6071d9cb207c6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b69613a4&x-expires=1762869600&x-signature=TUwBlH68n1CJsBdpz%2BZ7ft0pj1g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7540285164204475154","1755609455","2025-08-19T13:17:35.000Z",,,,,"53","https://vt.tiktok.com/ZSyqCc3mG/","false",,"false",,"2","https://vt.tiktok.com/ZSyqCc3mG/","gw kasian sama emaak nya😞","7283000565814477830","dragonnova_13","https://www.tiktok.com/@isseinugrohonew/video/7539839279304805649"
"https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/e5f3e72e033d3d14f0865773444d4c5f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=794f3726&x-expires=1762869600&x-signature=7vXTTwsP79uL6i3WLdoaRbD%2Fi%2Fs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7539938700466684679","1755528787","2025-08-18T14:53:07.000Z",,,,,"7","https://vt.tiktok.com/ZSyqCc3mG/","false",,"false",,"0","https://vt.tiktok.com/ZSyqCc3mG/","masih dipertanyakan kenapa banyak yang suka🗿","7041461020560409605","putangkinaoptimumpred","https://www.tiktok.com/@isseinugrohonew/video/7539839279304805649"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/419b549997ccad4b83c2dcd627154ec0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c35e2e30&x-expires=1762869600&x-signature=zTSQ%2BHpux4BWXLckZaxUKuNIDLM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7539852789888123656","1755508786","2025-08-18T09:19:46.000Z",,,,,"1748","https://vt.tiktok.com/ZSyqCc3mG/","false",,"false",,"3","https://vt.tiktok.com/ZSyqCc3mG/","lagi fotbar nih sama papa🤭","7441550617971885074","ting_tzy0","https://www.tiktok.com/@isseinugrohonew/video/7539839279304805649"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/abe94191fb777e9480a579652b970d74~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2b90e865&x-expires=1762869600&x-signature=E%2FCT9nkMgn4H0%2Fme9K%2BeXyqtMvU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7539891358924833537","1755517887","2025-08-18T11:51:27.000Z",,,,,"27","https://vt.tiktok.com/ZSyqCc3mG/","false",,"false",,"0","https://vt.tiktok.com/ZSyqCc3mG/","dia engga mikir in ibunya, anjirr","7284414149982209029","xnytssss__","https://www.tiktok.com/@isseinugrohonew/video/7539839279304805649"
